O3Si {'Iter': [7], 'EtotRyd': [-1031.59002052], 'VolBohr3': [281.58258], 'EfermiRyd': [0.1717160439]}
O2P {'Iter': [7], 'EtotRyd': [-985.00068312], 'VolBohr3': [183.09634], 'EfermiRyd': [0.5793242292]}
CoO3 {'Iter': [15], 'EtotRyd': [-3238.02954403], 'VolBohr3': [317.76536], 'EfermiRyd': [0.1303962517]}
Ar4O6 {'Iter': [9], 'EtotRyd': [-5134.16979463], 'VolBohr3': [1348.54738], 'EfermiRyd': [-0.1845168228]}
O10Se4 {'Iter': [11], 'EtotRyd': [-20944.61446591], 'VolBohr3': [967.16273], 'EfermiRyd': [0.4152494525]}
As2O {'Iter': [10], 'EtotRyd': [-9194.63125125], 'VolBohr3': [321.78043], 'EfermiRyd': [0.4538082008]}
Kr4O6 {'Iter': [8], 'EtotRyd': [-23224.36980692], 'VolBohr3': [1306.79528], 'EfermiRyd': [0.020073977]}
OZn {'Iter': [9], 'EtotRyd': [-3742.80752721], 'VolBohr3': [137.65126], 'EfermiRyd': [0.4003573129], 'Warning_last': ':WARN : QTL-B value eq.   2.21 in Band of energy   0.36889  ATOM=    1  L=  2'}
OV {'Iter': [9], 'EtotRyd': [-2049.22777594], 'VolBohr3': [123.94252], 'EfermiRyd': [0.944709803]}
O6V4 {'Iter': [9], 'EtotRyd': [-8498.07488143], 'VolBohr3': [686.79968], 'EfermiRyd': [0.6582128651]}
NiO3 {'Iter': [13], 'EtotRyd': [-3492.63827288], 'VolBohr3': [332.56481], 'EfermiRyd': [0.0582667274]}
K2O {'Iter': [12], 'EtotRyd': [-2559.10414765], 'VolBohr3': [459.08083], 'EfermiRyd': [0.2139290527]}
Ca2O {'Iter': [8], 'EtotRyd': [-2872.23747652], 'VolBohr3': [379.68706], 'EfermiRyd': [0.4783588917]}
Al4O10 {'Iter': [11], 'EtotRyd': [-3446.52549754], 'VolBohr3': [847.46687], 'EfermiRyd': [0.3976815045]}
Ga4O10 {'Iter': [11], 'EtotRyd': [-17056.38545361], 'VolBohr3': [914.76141], 'EfermiRyd': [0.3471863541]}
N4O6 {'Iter': [8], 'EtotRyd': [-1338.43493861], 'VolBohr3': [615.13214], 'EfermiRyd': [0.1531309128]}
CrO3 {'Iter': [12], 'EtotRyd': [-2553.2719416], 'VolBohr3': [317.01842], 'EfermiRyd': [0.1994770013]}
N2O {'Iter': [7], 'EtotRyd': [-368.57273211], 'VolBohr3': [179.31256], 'EfermiRyd': [0.2346912915]}
F2O {'Iter': [9], 'EtotRyd': [-549.32117479], 'VolBohr3': [205.55574], 'EfermiRyd': [-0.1760507034]}
Al4O6 {'Iter': [8], 'EtotRyd': [-2846.35798916], 'VolBohr3': [663.58787], 'EfermiRyd': [0.4693424952]}
HO2 {'Iter': [7], 'EtotRyd': [-301.57554538], 'VolBohr3': [128.24962], 'EfermiRyd': [0.1671112765]}
HO3 {'Iter': [11], 'EtotRyd': [-451.77106477], 'VolBohr3': [208.41331], 'EfermiRyd': [0.0367403709]}
H4O10 {'Iter': [10], 'EtotRyd': [-1506.3949982], 'VolBohr3': [692.96899], 'EfermiRyd': [0.1254632339]}
GeO2 {'Iter': [8], 'EtotRyd': [-4499.13958649], 'VolBohr3': [190.38769], 'EfermiRyd': [0.5182761354]}
Br2O {'Iter': [14], 'EtotRyd': [-10576.66841883], 'VolBohr3': [413.44927], 'EfermiRyd': [0.1745416907]}
Cl4O6 {'Iter': [8], 'EtotRyd': [-4593.2176902], 'VolBohr3': [908.8032], 'EfermiRyd': [0.1927059377]}
AsO2 {'Iter': [8], 'EtotRyd': [-4823.0277777], 'VolBohr3': [212.08952], 'EfermiRyd': [0.4735799771]}
O10Si4 {'Iter': [10], 'EtotRyd': [-3823.5780305], 'VolBohr3': [821.1497], 'EfermiRyd': [0.4785652288]}
Ni4O6 {'Iter': [10], 'EtotRyd': [-13069.28083021], 'VolBohr3': [648.30885], 'EfermiRyd': [0.4607975593]}
O10P4 {'Iter': [10], 'EtotRyd': [-4239.57630048], 'VolBohr3': [876.48206], 'EfermiRyd': [0.4047939358]}
Br4O6 {'Iter': [8], 'EtotRyd': [-21754.72441231], 'VolBohr3': [991.27868], 'EfermiRyd': [0.2907964846]}
Na2O {'Iter': [9], 'EtotRyd': [-800.37500504], 'VolBohr3': [294.8635], 'EfermiRyd': [0.0619625572]}
H4O6 {'Iter': [7], 'EtotRyd': [-906.07476991], 'VolBohr3': [415.91402], 'EfermiRyd': [0.1761843616]}
NO3 {'Iter': [9], 'EtotRyd': [-559.96817345], 'VolBohr3': [266.68495], 'EfermiRyd': [0.0477969442]}
B4O10 {'Iter': [10], 'EtotRyd': [-1700.6372372], 'VolBohr3': [730.34364], 'EfermiRyd': [0.3492214046]}
MgO3 {'Iter': [8], 'EtotRyd': [-851.70966926], 'VolBohr3': [415.41526], 'EfermiRyd': [-0.1821663554]}
FO3 {'Iter': [11], 'EtotRyd': [-649.99321586], 'VolBohr3': [355.79358], 'EfermiRyd': [-0.1972956347]}
OS2 {'Iter': [10], 'EtotRyd': [-1746.85029282], 'VolBohr3': [287.03746], 'EfermiRyd': [0.3862074058]}
BrO3 {'Iter': [8], 'EtotRyd': [-5664.10075472], 'VolBohr3': [392.11114], 'EfermiRyd': [0.0653868433]}
MnO3 {'Iter': [14], 'EtotRyd': [-2768.67999902], 'VolBohr3': [309.04754], 'EfermiRyd': [0.2089932933]}
Br4O10 {'Iter': [11], 'EtotRyd': [-22355.21628262], 'VolBohr3': [1046.59843], 'EfermiRyd': [0.3196915622]}
NO {'Iter': [7], 'EtotRyd': [-259.49954402], 'VolBohr3': [103.28373], 'EfermiRyd': [0.3366951634]}
O10Sc4 {'Iter': [11], 'EtotRyd': [-7618.86247793], 'VolBohr3': [963.80665], 'EfermiRyd': [0.4112554543]}
O6Se4 {'Iter': [8], 'EtotRyd': [-20344.07982238], 'VolBohr3': [891.48093], 'EfermiRyd': [0.4302371959]}
O3Se {'Iter': [8], 'EtotRyd': [-5311.53833014], 'VolBohr3': [337.06054], 'EfermiRyd': [0.1902810834]}
O3Ti {'Iter': [9], 'EtotRyd': [-2159.22835048], 'VolBohr3': [387.4967], 'EfermiRyd': [0.0147452316]}
N4O10 {'Iter': [10], 'EtotRyd': [-1938.78507275], 'VolBohr3': [767.69387], 'EfermiRyd': [0.1768303972]}
O2V {'Iter': [10], 'EtotRyd': [-2199.81540958], 'VolBohr3': [179.72688], 'EfermiRyd': [0.6503423693]}
Ga4O6 {'Iter': [8], 'EtotRyd': [-16456.09027675], 'VolBohr3': [752.07396], 'EfermiRyd': [0.4018657603]}
Al2O {'Iter': [11], 'EtotRyd': [-1121.63579239], 'VolBohr3': [310.67503], 'EfermiRyd': [0.3916457384]}
Ca4O10 {'Iter': [10], 'EtotRyd': [-6947.62787724], 'VolBohr3': [1138.0436], 'EfermiRyd': [0.1967243664]}
Ge4O6 {'Iter': [9], 'EtotRyd': [-17695.45169668], 'VolBohr3': [817.9817], 'EfermiRyd': [0.4650524939]}
KrO2 {'Iter': [8], 'EtotRyd': [-5881.14169619], 'VolBohr3': [320.83348], 'EfermiRyd': [0.0601347337]}
OV2 {'Iter': [9], 'EtotRyd': [-3947.7312865], 'VolBohr3': [221.2243], 'EfermiRyd': [0.8522769344]}
Co4O6 {'Iter': [10], 'EtotRyd': [-12050.56991873], 'VolBohr3': [610.79785], 'EfermiRyd': [0.5453767409]}
CO3 {'Iter': [8], 'EtotRyd': [-526.89794378], 'VolBohr3': [221.65064], 'EfermiRyd': [0.2533481603]}
Cr4O10 {'Iter': [17], 'EtotRyd': [-9910.74016592], 'VolBohr3': [783.80652], 'EfermiRyd': [0.570023435]}
GaO2 {'Iter': [8], 'EtotRyd': [-4189.18372635], 'VolBohr3': [198.12605], 'EfermiRyd': [0.347659924]}
Ga2O {'Iter': [9], 'EtotRyd': [-7926.89246568], 'VolBohr3': [357.94754], 'EfermiRyd': [0.2718995434]}
CO {'Iter': [7], 'EtotRyd': [-226.22669776], 'VolBohr3': [105.82792], 'EfermiRyd': [0.4351116765], 'Warning_last': ':WARN : QTL-B value eq.   2.08 in Band of energy  -0.48477  ATOM=    2  L=  1'}
