OOs2 {'Iter': [9], 'EtotRyd': [-69277.92696493], 'VolBohr3': [267.02432], 'EfermiRyd': [0.9203488825]}
O2Tc {'Iter': [9], 'EtotRyd': [-8874.32509375], 'VolBohr3': [193.17525], 'EfermiRyd': [0.8308350722]}
HfO3 {'Iter': [10], 'EtotRyd': [-30647.32944099], 'VolBohr3': [471.93711], 'EfermiRyd': [0.027090463]}
O3Pu {'Iter': [15], 'EtotRyd': [-59835.911373], 'VolBohr3': [463.18717], 'EfermiRyd': [0.3436545832]}
O10Pu4 {'Iter': [14], 'EtotRyd': [-239041.82807192], 'VolBohr3': [994.1626], 'EfermiRyd': [0.9138939194]}
Ho4O6 {'Iter': [16], 'EtotRyd': [-101932.08693475], 'VolBohr3': [1014.33385], 'EfermiRyd': [0.5036267119]}
O3Zr {'Iter': [9], 'EtotRyd': [-7650.07276762], 'VolBohr3': [488.29956], 'EfermiRyd': [-0.0035711943]}
Bi4O10 {'Iter': [11], 'EtotRyd': [-174156.15979744], 'VolBohr3': [1197.66781], 'EfermiRyd': [0.4343182677]}
EuO3 {'Iter': [46], 'EtotRyd': [-22156.05757858], 'VolBohr3': [578.95305], 'EfermiRyd': [-0.0285888944]}
Cm4O10 {'Iter': [22], 'EtotRyd': [-252436.39371229], 'VolBohr3': [999.59895], 'EfermiRyd': [0.8118928091]}
ORe {'Iter': [8], 'EtotRyd': [-33586.27740666], 'VolBohr3': [149.75057], 'EfermiRyd': [1.0868006869], 'Warning_last': ':WARN : QTL-B value eq.   2.20 in Band of energy   0.31433  ATOM=    2  L=  1'}
AmO {'Iter': [10], 'EtotRyd': [-61192.43048287], 'VolBohr3': [177.54654], 'EfermiRyd': [1.1641216973]}
OTe {'Iter': [8], 'EtotRyd': [-13744.15138231], 'VolBohr3': [234.20053], 'EfermiRyd': [0.5476278402]}
OY2 {'Iter': [9], 'EtotRyd': [-13693.44405001], 'VolBohr3': [377.19583], 'EfermiRyd': [0.7071468629]}
OSb2 {'Iter': [11], 'EtotRyd': [-26084.88201351], 'VolBohr3': [412.82552], 'EfermiRyd': [0.4975628998]}
O2Sb {'Iter': [8], 'EtotRyd': [-13268.23168249], 'VolBohr3': [250.8438], 'EfermiRyd': [0.5614950522]}
